manufacturer,model,quantity,equipment_type,venue
Additional Lighting,Equipment,20,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"m lengths 
Box Truss Limited quantity - various lengths 

Page",18 Technical and Production Information for the Concert Hall6 Lighting,6,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
with an,ETC,1,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"Dimmers  
The CH has over",618 channels of 3kw,4,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"Mixing Console - FOH Stalls 
Permanently installed SSL Live",L650 system comprising of,1,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
